,Unnamed: 0,vowel,following_phone,word,word_duration,word_transcription,following_word_transcription,begin,end,discourse,speaker,gender,speaker_mean_f0,speaker_sd_f0,speaker_median_f0,utterance_duration,utterance_num_syllables,word_type,word_frequency,utterance_mean_f0,utterance_min_f0,utterance_max_f0,following_syllable_mean_f0,following_following_syllable_mean_f0,following_following_following_syllable_mean_f0,time,F0,wp_tone,gp_tone
19,19,ii,k,ีีก,0.1799999999999997,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588936,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.275,106.18,['N/A'],['N/A']
20,20,ii,k,ีีก,0.1799999999999997,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588936,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.285,103.17,['N/A'],['N/A']
21,21,ii,k,ีีก,0.1799999999999997,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588936,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.295,99.83,['N/A'],['N/A']
22,22,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.885,281.69,['N/A'],['N/A']
23,23,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.895,282.67,['N/A'],['N/A']
24,24,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.905,275.44,['N/A'],['N/A']
25,25,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.915,266.93,['N/A'],['N/A']
26,26,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.925,253.63,['N/A'],['N/A']
27,27,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.935,251.66,['N/A'],['N/A']
28,28,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.945,250.92,['N/A'],['N/A']
29,29,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.955,250.88,['N/A'],['N/A']
30,30,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.965,251.45,['N/A'],['N/A']
31,31,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.975,252.17,['N/A'],['N/A']
32,32,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.985,253.11,['N/A'],['N/A']
33,33,a,j,่่,0.25,a.j,c.a.p.e.n,6.78,7.0,TH008_159,TH008,female,205.42430306092763,38.351264578000375,202.25,1.9999999999999991,7,,,212.2948062015504,167.28,352.77,224.665,191.56733333333327,231.29,6.995,253.79,['N/A'],['N/A']
34,34,aa,ng,่่าง,0.1099999999999994,aa.ng,s.xx,5.07,5.14,TH013_183,TH013,female,186.41551246337832,25.953469862087097,183.78,2.28,10,,,169.4573595505618,85.62,303.36,178.37625,179.3545,204.94692307692307,5.075,189.86,['N/A'],['N/A']
35,35,aa,ng,่่าง,0.1099999999999994,aa.ng,s.xx,5.07,5.14,TH013_183,TH013,female,186.41551246337832,25.953469862087097,183.78,2.28,10,,,169.4573595505618,85.62,303.36,178.37625,179.3545,204.94692307692307,5.085,185.64,['N/A'],['N/A']
36,36,aa,ng,่่าง,0.1099999999999994,aa.ng,s.xx,5.07,5.14,TH013_183,TH013,female,186.41551246337832,25.953469862087097,183.78,2.28,10,,,169.4573595505618,85.62,303.36,178.37625,179.3545,204.94692307692307,5.095,181.91,['N/A'],['N/A']
37,37,aa,ng,่่าง,0.1099999999999994,aa.ng,s.xx,5.07,5.14,TH013_183,TH013,female,186.41551246337832,25.953469862087097,183.78,2.28,10,,,169.4573595505618,85.62,303.36,178.37625,179.3545,204.94692307692307,5.105,178.77,['N/A'],['N/A']
38,38,aa,ng,่่าง,0.1099999999999994,aa.ng,s.xx,5.07,5.14,TH013_183,TH013,female,186.41551246337832,25.953469862087097,183.78,2.28,10,,,169.4573595505618,85.62,303.36,178.37625,179.3545,204.94692307692307,5.115,175.77,['N/A'],['N/A']
39,39,aa,ng,่่าง,0.1099999999999994,aa.ng,s.xx,5.07,5.14,TH013_183,TH013,female,186.41551246337832,25.953469862087097,183.78,2.28,10,,,169.4573595505618,85.62,303.36,178.37625,179.3545,204.94692307692307,5.125,172.94,['N/A'],['N/A']
40,40,aa,ng,่่าง,0.1099999999999994,aa.ng,s.xx,5.07,5.14,TH013_183,TH013,female,186.41551246337832,25.953469862087097,183.78,2.28,10,,,169.4573595505618,85.62,303.36,178.37625,179.3545,204.94692307692307,5.135,170.75,['N/A'],['N/A']
41,41,a,n,ััน,0.1200000000000001,a.n,t.aa.p.d.a.j.th.ii,3.27,3.35,TH014_147,TH014,female,205.86654103359044,33.42498491991244,205.32,4.950000000000001,22,,,200.6750641025641,81.23,316.55,190.5207692307692,194.85333333333327,247.244,3.34,211.63,['N/A'],['N/A']
42,42,a,n,ััน,0.1200000000000001,a.n,t.aa.p.d.a.j.th.ii,3.27,3.35,TH014_147,TH014,female,205.86654103359044,33.42498491991244,205.32,4.950000000000001,22,,,200.6750641025641,81.23,316.55,190.5207692307692,194.85333333333327,247.244,3.35,208.91,['N/A'],['N/A']
43,43,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.831,241.74,['N/A'],['N/A']
44,44,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.841,226.78,['N/A'],['N/A']
45,45,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.851,221.95,['N/A'],['N/A']
46,46,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.861,222.39,['N/A'],['N/A']
47,47,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.871,222.44,['N/A'],['N/A']
48,48,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.881,222.17,['N/A'],['N/A']
49,49,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.891,221.75,['N/A'],['N/A']
50,50,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.901,221.93,['N/A'],['N/A']
51,51,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.911,221.53,['N/A'],['N/A']
52,52,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.921,224.12,['N/A'],['N/A']
53,53,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.931,221.64,['N/A'],['N/A']
54,54,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.941,222.86,['N/A'],['N/A']
55,55,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.951,223.17,['N/A'],['N/A']
56,56,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.961,222.74,['N/A'],['N/A']
57,57,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.971,222.47,['N/A'],['N/A']
58,58,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.981,222.31,['N/A'],['N/A']
59,59,i,ph,ิิพิฏ,0.56,i.ph.i.t,spn,1.81,2.0,TH026_170,TH026,X,224.44253561489063,26.8553788712355,220.9,4.18,17,,,219.3610188679245,111.48,281.97,226.848,,262.73266666666666,1.991,226.39,['N/A'],['N/A']
60,60,a,m,ำำ,0.1900000000000004,a.m,n.o.t,4.25,4.36,TH028_18,TH028,X,157.81932592779597,22.09111442799146,155.58,1.79,7,,,136.30691666666667,66.18,152.83,144.49,138.93375,135.71,4.325,142.22,['N/A'],['N/A']
61,61,a,m,ำำ,0.1900000000000004,a.m,n.o.t,4.25,4.36,TH028_18,TH028,X,157.81932592779597,22.09111442799146,155.58,1.79,7,,,136.30691666666667,66.18,152.83,144.49,138.93375,135.71,4.335,141.16,['N/A'],['N/A']
62,62,a,m,ำำ,0.1900000000000004,a.m,n.o.t,4.25,4.36,TH028_18,TH028,X,157.81932592779597,22.09111442799146,155.58,1.79,7,,,136.30691666666667,66.18,152.83,144.49,138.93375,135.71,4.345,141.05,['N/A'],['N/A']
63,63,a,m,ำำ,0.1900000000000004,a.m,n.o.t,4.25,4.36,TH028_18,TH028,X,157.81932592779597,22.09111442799146,155.58,1.79,7,,,136.30691666666667,66.18,152.83,144.49,138.93375,135.71,4.355,141.59,['N/A'],['N/A']
64,64,u,w,ุุ,0.0700000000000002,u,w.i.t,7.42,7.49,TH029_13,TH029,male,115.23091749569376,13.943590197730318,112.7,1.33,8,,,109.524,95.5,125.97,114.19333333333331,111.719375,117.13277777777778,7.465,111.3,['N/A'],['N/A']
65,65,u,w,ุุ,0.0700000000000002,u,w.i.t,7.42,7.49,TH029_13,TH029,male,115.23091749569376,13.943590197730318,112.7,1.33,8,,,109.524,95.5,125.97,114.19333333333331,111.719375,117.13277777777778,7.475,110.89,['N/A'],['N/A']
66,66,u,w,ุุ,0.0700000000000002,u,w.i.t,7.42,7.49,TH029_13,TH029,male,115.23091749569376,13.943590197730318,112.7,1.33,8,,,109.524,95.5,125.97,114.19333333333331,111.719375,117.13277777777778,7.485,109.38,['N/A'],['N/A']
67,67,a,m,ำำ,0.2199999999999997,a.m,n.a.k,4.82,4.91,TH030_120,TH030,female,215.2913356653766,24.74208216064176,211.97,2.28,8,,,212.34309941520468,191.27,243.59,198.175,223.2162,223.6,4.88,227.04,['N/A'],['N/A']
68,68,a,m,ำำ,0.2199999999999997,a.m,n.a.k,4.82,4.91,TH030_120,TH030,female,215.2913356653766,24.74208216064176,211.97,2.28,8,,,212.34309941520468,191.27,243.59,198.175,223.2162,223.6,4.89,220.43,['N/A'],['N/A']
69,69,a,m,ำำ,0.2199999999999997,a.m,n.a.k,4.82,4.91,TH030_120,TH030,female,215.2913356653766,24.74208216064176,211.97,2.28,8,,,212.34309941520468,191.27,243.59,198.175,223.2162,223.6,4.9,213.86,['N/A'],['N/A']
70,70,a,m,ำำ,0.2199999999999997,a.m,n.a.k,4.82,4.91,TH030_120,TH030,female,215.2913356653766,24.74208216064176,211.97,2.28,8,,,212.34309941520468,191.27,243.59,198.175,223.2162,223.6,4.91,209.51,['N/A'],['N/A']
71,71,a,n,กัน,0.1400000000000001,a.n,t.xx,3.15,3.26,TH033_55,TH033,male,129.80225009027936,23.52775414150794,125.64,1.5500000000000005,9,Content,,127.16612403100775,104.27,144.32,116.00833333333333,125.3776923076923,123.17176470588235,3.205,130.65,['33'],['0']
72,72,a,n,กัน,0.1400000000000001,a.n,t.xx,3.15,3.26,TH033_55,TH033,male,129.80225009027936,23.52775414150794,125.64,1.5500000000000005,9,Content,,127.16612403100775,104.27,144.32,116.00833333333333,125.3776923076923,123.17176470588235,3.215,133.12,['33'],['0']
73,73,a,n,กัน,0.1400000000000001,a.n,t.xx,3.15,3.26,TH033_55,TH033,male,129.80225009027936,23.52775414150794,125.64,1.5500000000000005,9,Content,,127.16612403100775,104.27,144.32,116.00833333333333,125.3776923076923,123.17176470588235,3.225,132.26,['33'],['0']
74,74,a,n,กัน,0.1400000000000001,a.n,t.xx,3.15,3.26,TH033_55,TH033,male,129.80225009027936,23.52775414150794,125.64,1.5500000000000005,9,Content,,127.16612403100775,104.27,144.32,116.00833333333333,125.3776923076923,123.17176470588235,3.235,127.05,['33'],['0']
75,75,a,n,กัน,0.1400000000000001,a.n,t.xx,3.15,3.26,TH033_55,TH033,male,129.80225009027936,23.52775414150794,125.64,1.5500000000000005,9,Content,,127.16612403100775,104.27,144.32,116.00833333333333,125.3776923076923,123.17176470588235,3.245,125.45,['33'],['0']
76,76,a,n,กัน,0.1400000000000001,a.n,t.xx,3.15,3.26,TH033_55,TH033,male,129.80225009027936,23.52775414150794,125.64,1.5500000000000005,9,Content,,127.16612403100775,104.27,144.32,116.00833333333333,125.3776923076923,123.17176470588235,3.255,124.42,['33'],['0']
77,77,a,p,ัับ,0.1500000000000001,a.p,ph.a.k,1.46,1.56,TH033_35,TH033,male,129.80225009027936,23.52775414150794,125.64,2.35,13,,,111.21771604938272,91.54,149.81,140.025,138.889,112.3795,1.535,134.19,['N/A'],['N/A']
78,78,a,p,ัับ,0.1500000000000001,a.p,ph.a.k,1.46,1.56,TH033_35,TH033,male,129.80225009027936,23.52775414150794,125.64,2.35,13,,,111.21771604938272,91.54,149.81,140.025,138.889,112.3795,1.545,132.78,['N/A'],['N/A']
79,79,a,p,ัับ,0.1500000000000001,a.p,ph.a.k,1.46,1.56,TH033_35,TH033,male,129.80225009027936,23.52775414150794,125.64,2.35,13,,,111.21771604938272,91.54,149.81,140.025,138.889,112.3795,1.555,129.25,['N/A'],['N/A']
80,80,aa,l,่่า,0.06,aa,l.vv.m,2.96,3.02,TH038_50,TH038,male,122.22654921857873,31.42096231072084,122.27,3.770000000000001,16,,,120.63568421052632,55.16,306.45,121.36904761904762,103.87615384615384,111.82714285714286,2.965,125.88,['N/A'],['N/A']
81,81,aa,l,่่า,0.06,aa,l.vv.m,2.96,3.02,TH038_50,TH038,male,122.22654921857873,31.42096231072084,122.27,3.770000000000001,16,,,120.63568421052632,55.16,306.45,121.36904761904762,103.87615384615384,111.82714285714286,2.975,122.45,['N/A'],['N/A']
82,82,aa,l,่่า,0.06,aa,l.vv.m,2.96,3.02,TH038_50,TH038,male,122.22654921857873,31.42096231072084,122.27,3.770000000000001,16,,,120.63568421052632,55.16,306.45,121.36904761904762,103.87615384615384,111.82714285714286,2.985,119.16,['N/A'],['N/A']
83,83,aa,l,่่า,0.06,aa,l.vv.m,2.96,3.02,TH038_50,TH038,male,122.22654921857873,31.42096231072084,122.27,3.770000000000001,16,,,120.63568421052632,55.16,306.45,121.36904761904762,103.87615384615384,111.82714285714286,2.995,117.47,['N/A'],['N/A']
84,84,aa,l,่่า,0.06,aa,l.vv.m,2.96,3.02,TH038_50,TH038,male,122.22654921857873,31.42096231072084,122.27,3.770000000000001,16,,,120.63568421052632,55.16,306.45,121.36904761904762,103.87615384615384,111.82714285714286,3.005,116.68,['N/A'],['N/A']
85,85,aa,l,่่า,0.06,aa,l.vv.m,2.96,3.02,TH038_50,TH038,male,122.22654921857873,31.42096231072084,122.27,3.770000000000001,16,,,120.63568421052632,55.16,306.45,121.36904761904762,103.87615384615384,111.82714285714286,3.015,116.02,['N/A'],['N/A']
86,86,a,ng,ัั้ง,0.1499999999999999,a.ng,t.xx,3.36,3.46,TH041_73,TH041,female,229.5258696444128,38.73267424915136,227.85,2.03,9,,,245.17993377483444,203.47,324.98,236.06578947368425,253.56185185185183,249.61272727272728,3.435,262.24,['N/A'],['N/A']
87,87,a,ng,ัั้ง,0.1499999999999999,a.ng,t.xx,3.36,3.46,TH041_73,TH041,female,229.5258696444128,38.73267424915136,227.85,2.03,9,,,245.17993377483444,203.47,324.98,236.06578947368425,253.56185185185183,249.61272727272728,3.445,266.94,['N/A'],['N/A']
88,88,a,ng,ัั้ง,0.1499999999999999,a.ng,t.xx,3.36,3.46,TH041_73,TH041,female,229.5258696444128,38.73267424915136,227.85,2.03,9,,,245.17993377483444,203.47,324.98,236.06578947368425,253.56185185185183,249.61272727272728,3.455,272.61,['N/A'],['N/A']
89,89,a,k,ััก,0.2000000000000001,a.k,s.v.k.s.aa,4.95,5.07,TH044_55,TH044,female,231.62439170896795,34.95183347101828,227.24,1.29,6,,,238.05829545454543,108.62,326.69,293.4628571428572,204.40916666666664,227.8028571428572,5.0,108.62,['N/A'],['N/A']
90,90,a,k,ััก,0.2000000000000001,a.k,s.v.k.s.aa,4.95,5.07,TH044_55,TH044,female,231.62439170896795,34.95183347101828,227.24,1.29,6,,,238.05829545454543,108.62,326.69,293.4628571428572,204.40916666666664,227.8028571428572,5.01,114.66,['N/A'],['N/A']
91,91,a,k,ััก,0.2000000000000001,a.k,s.v.k.s.aa,4.95,5.07,TH044_55,TH044,female,231.62439170896795,34.95183347101828,227.24,1.29,6,,,238.05829545454543,108.62,326.69,293.4628571428572,204.40916666666664,227.8028571428572,5.02,224.71,['N/A'],['N/A']
92,92,a,k,ััก,0.2000000000000001,a.k,s.v.k.s.aa,4.95,5.07,TH044_55,TH044,female,231.62439170896795,34.95183347101828,227.24,1.29,6,,,238.05829545454543,108.62,326.69,293.4628571428572,204.40916666666664,227.8028571428572,5.03,226.97,['N/A'],['N/A']
93,93,a,k,ััก,0.2000000000000001,a.k,s.v.k.s.aa,4.95,5.07,TH044_55,TH044,female,231.62439170896795,34.95183347101828,227.24,1.29,6,,,238.05829545454543,108.62,326.69,293.4628571428572,204.40916666666664,227.8028571428572,5.04,230.77,['N/A'],['N/A']
94,94,a,k,ััก,0.2000000000000001,a.k,s.v.k.s.aa,4.95,5.07,TH044_55,TH044,female,231.62439170896795,34.95183347101828,227.24,1.29,6,,,238.05829545454543,108.62,326.69,293.4628571428572,204.40916666666664,227.8028571428572,5.05,234.09,['N/A'],['N/A']
95,95,a,k,ััก,0.2000000000000001,a.k,s.v.k.s.aa,4.95,5.07,TH044_55,TH044,female,231.62439170896795,34.95183347101828,227.24,1.29,6,,,238.05829545454543,108.62,326.69,293.4628571428572,204.40916666666664,227.8028571428572,5.06,236.4,['N/A'],['N/A']
96,96,a,k,ััก,0.2000000000000001,a.k,s.v.k.s.aa,4.95,5.07,TH044_55,TH044,female,231.62439170896795,34.95183347101828,227.24,1.29,6,,,238.05829545454543,108.62,326.69,293.4628571428572,204.40916666666664,227.8028571428572,5.07,237.06,['N/A'],['N/A']
97,97,a,n,โชติ,0.5399999999999998,a.n.aa.k.aa.n,m.aa,1.53,1.63,TH046_97,TH046,female,203.43738515850544,25.383867702988827,199.7,0.5399999999999998,3,Content,,191.9266,179.14,230.26,198.03666666666663,185.235,187.9176923076923,1.555,230.26,['N/A'],['2']
98,98,a,n,โชติ,0.5399999999999998,a.n.aa.k.aa.n,m.aa,1.53,1.63,TH046_97,TH046,female,203.43738515850544,25.383867702988827,199.7,0.5399999999999998,3,Content,,191.9266,179.14,230.26,198.03666666666663,185.235,187.9176923076923,1.565,221.97,['N/A'],['2']
99,99,a,n,โชติ,0.5399999999999998,a.n.aa.k.aa.n,m.aa,1.53,1.63,TH046_97,TH046,female,203.43738515850544,25.383867702988827,199.7,0.5399999999999998,3,Content,,191.9266,179.14,230.26,198.03666666666663,185.235,187.9176923076923,1.575,209.62,['N/A'],['2']
